Kohler
Model,Kohler Price,Home Depot Price,Kohler/Home Depot Change,Lowes Price,Kohler/Lowes Change
K-4991-ET-0,$300.00,$225.00,-25%,-,-
K-5452-ET-0,$203.20,$152.40,-25%,-,-
K-5016-ET-0,$198.20,$148.65,-25%,-,-
K-4918-0,$771.45,$578.59,-25%,-,-
K-4917-0,$697.95,$523.46,-25%,-,-
K-5016-ER-0,$198.20,$148.65,-25%,-,-
K-5024-T-0,$278.10,$208.58,-24.998%,-,-
K-4989-T-0,$495.35,$371.51,-25.001%,-,-
K-4991-ETSS-0,$330.00,-,-,$247.50,-25%
K-5016-ETSS-0,$228.20,-,-,$171.15,-25%
K-5452-ER-0,$203.20,-,-,$152.40,-25%
K-4991-ERSS-0,$349.90,-,-,$262.43,-24.999%
K-25048-ER-0,$674.65,-,-,$505.99,-25%
Toto
Model,Toto Price,Home Depot Price,Toto/Home Depot Change
UT104E#01,$212.00,$152.85,-27.901%
UT447E#01,$282.00,$180.24,-36.085%
